@relation 'bogota-weka.filters.unsupervised.attribute.Remove-R1-2,4-10'

@attribute Temperatura numeric
@attribute Humedad numeric

@data
13.3,93.4
13,93.2
12.8,93.3
12.6,90.2
12.4,89.4
12.3,88.9
12.1,88.5
12,90.1
11.8,89.8
11.7,89.1
11.7,88.5
12.5,82.3
13.9,71.6
15.6,61.4
17.1,52.7
18.1,48.2
18.5,47.6
18.2,50.1
17.2,58.5
16.6,71.9
15.9,84.2
14.9,91.4
14,95.1
13.4,94.4
13.1,94.2
12.8,94.1
12.4,94.4
12,94
11.6,93.3
11.2,92.8
10.9,92.6
10.7,93.4
10.4,93.6
9.8,93.7
9.2,93.7
10.3,89.5
13.5,77
15.4,61.6
16.7,51.1
17.7,46.4
17.5,45.5
17.1,48.2
16.9,54.3
16.6,68.8
15.9,82.8
15,91.4
14,95.6
13.2,95
11.1,95.4
11.3,94.9
11.1,94.4
11,94.5
10.6,94.7
10.2,94.8
9.4,94.7
8.9,94.7
8.3,94.5
7.9,94.1
7.6,93.3
10.2,87.7
12.7,76.5
15.1,62.5
17,55.4
18.1,51.6
18.5,51.7
18.3,55.6
16.6,67.6
15.1,79.3
13.9,87.3
12.6,93.3
11.3,95.5
11.5,95.3
11.1,95.3
11.2,94.7
11.1,94.4
11.2,94.1
11,94.3
10.7,94.4
10.5,94.4
