@relation 'bogota-weka.filters.unsupervised.attribute.Remove-R1-2,5-11'

@attribute Temperatura numeric
@attribute Velocidad numeric

@data
13.3,1.2
13,1.3
12.8,1.2
12.6,1.2
12.4,0.9
12.3,0.8
12.1,0.8
12,0.6
11.8,0.5
11.7,0.5
11.7,0.7
12.5,0.5
13.9,0.7
15.6,1
17.1,1.2
18.1,1.8
18.5,2.7
18.2,3.3
17.2,3
16.6,2.3
15.9,1.6
14.9,1.1
14,0.6
13.4,0.5
13.1,0.5
12.8,0.8
12.4,0.9
12,1.1
11.6,1.2
11.2,1.3
10.9,1.3
10.7,1.4
10.4,1.4
9.8,1.4
9.2,1.4
10.3,1.1
13.5,1.2
15.4,1.3
16.7,1.8
17.7,2.2
17.5,2.4
17.1,3.1
16.9,3.4
16.6,2.9
15.9,2.1
15,1.3
14,0.8
13.2,0.6
11.1,0.5
11.3,0.5
11.1,0.7
11,1.1
10.6,1.2
10.2,1.1
9.4,1.2
8.9,1.2
8.3,1.3
7.9,1.4
7.6,1.5
10.2,1.1
12.7,0.9
15.1,1.1
17,1.7
18.1,2.2
18.5,2.9
18.3,3.3
16.6,3
15.1,2.5
13.9,1.8
12.6,1.2
11.3,0.9
11.5,0.8
11.1,0.8
11.2,0.9
11.1,1
11.2,0.9
11,0.8
10.7,0.9
10.5,0.7
